criterion_id,trial_id,trial_title,criterion_type,criterion_text
CRIT_001,NCT01397994,Study to Assess Efficacy of Nicorandil+Atenolol vs Atenolol in Treatment of Chronic Stable Angina.,inclusion,Male and female
CRIT_002,NCT01397994,Study to Assess Efficacy of Nicorandil+Atenolol vs Atenolol in Treatment of Chronic Stable Angina.,inclusion,Patients of chronic stable angina with abnormal Exercise Myocardial Perfusion Spect Scan with reversible and partially reversible ischemic changes.
CRIT_003,NCT01397994,Study to Assess Efficacy of Nicorandil+Atenolol vs Atenolol in Treatment of Chronic Stable Angina.,exclusion,Unstable angina
CRIT_004,NCT00149227,Add-on Effects of Valsartan on Morbi- Mortality (KYOTO HEART Study),exclusion,"Patients with IHD within 6 months after percutaneous coronary intervention(PCI), and who are stable but are going to implement PCI or coronary artery bypass grafting(CABG)"
CRIT_005,NCT02097186,Preconditioning Shields Against Vascular Events in Surgery,inclusion,Age greater than 18 years
CRIT_006,NCT02097186,Preconditioning Shields Against Vascular Events in Surgery,exclusion,Patients with an estimated pre-operative glomerular filtration rate < 30mls/min/1.73m2
CRIT_007,NCT02097186,Preconditioning Shields Against Vascular Events in Surgery,inclusion,Patients undergoing elective carotid endarterectomy
CRIT_008,NCT02097186,Preconditioning Shields Against Vascular Events in Surgery,exclusion,Pregnancy
CRIT_009,NCT02264769,Carbetocin at Elective Cesarean Delivery Part 4,inclusion,Written informed consent to participate in this study
CRIT_010,NCT02264769,Carbetocin at Elective Cesarean Delivery Part 4,exclusion,Refusal to give written informed consent.
CRIT_011,NCT02264769,Carbetocin at Elective Cesarean Delivery Part 4,inclusion,Elective cesarean delivery under spinal anesthesia
CRIT_012,NCT02264769,Carbetocin at Elective Cesarean Delivery Part 4,exclusion,Allergy or hypersensitivity to carbetocin or oxytocin.
CRIT_013,NCT00277680,Laparoscopic Occlusion of Uterine Vessels Compared to Uterine Fibroid Embolization for Treatment of Uterine Fibroids,exclusion,Malignancy
CRIT_014,NCT00277680,Laparoscopic Occlusion of Uterine Vessels Compared to Uterine Fibroid Embolization for Treatment of Uterine Fibroids,inclusion,Menorrhagia and/or bulk symptoms associated with uterine fibroids
CRIT_015,NCT00180739,Safety Trial of Magnetic Resonance (MR) Guided Focused Ultrasound Surgery (FUS) in Women With Uterine Fibroids Wishing to Pursue Pregnancy in the Future,exclusion,13. Evidence of uterine pathology other than leiomyoma
CRIT_016,NCT00180739,Safety Trial of Magnetic Resonance (MR) Guided Focused Ultrasound Surgery (FUS) in Women With Uterine Fibroids Wishing to Pursue Pregnancy in the Future,inclusion,"1. Subject with uterine fibroids, who desire pregnancy within 12 months and has the one of the following criteria: Women 20-40 age. Women age < 46 years old who plan to have egg donation. Women above 38 should test for normal ovarian function as judged by endocrinological evaluation. If the couple has failed to conceive for more that 1 year, the woman should test for normal ovarian function as judged by endocrinological evaluation, and the male must have adequate sperm test. Women undergoing fertility treatment or plan to have sperm donation."
CRIT_017,NCT02238756,Safety and Tolerability of CV8102 Alone and in Combination With a Rabies Virus Vaccine in Healthy Adults,inclusion,Compliant with protocol procedures and available for clinical F/U until the protocol-defined end of the trial
CRIT_018,NCT02238756,Safety and Tolerability of CV8102 Alone and in Combination With a Rabies Virus Vaccine in Healthy Adults,inclusion,Physical examination and laboratory results without clinically significant findings
CRIT_019,NCT02238756,Safety and Tolerability of CV8102 Alone and in Combination With a Rabies Virus Vaccine in Healthy Adults,exclusion,"Acute disease at the time of enrolment. Acute disease is defined as the presence of any acute condition including but not limited to non-febrile or febrile common colds, urinary tract infections, inflammatory, allergic or traumatic conditions that may interfere with safety assessment of the investigational products"
CRIT_020,NCT02238756,Safety and Tolerability of CV8102 Alone and in Combination With a Rabies Virus Vaccine in Healthy Adults,inclusion,Body Mass Index (BMI) ≥ 18.0 and ≤ 32.0 kg/m2
CRIT_021,NCT01745731,Cell Infusion Intraportal Autologous Bone Marrow Mononuclear as Enhancer of Liver Regeneration,inclusion,Patients of both sexes aged ≥ 18 years.
CRIT_022,NCT01745731,Cell Infusion Intraportal Autologous Bone Marrow Mononuclear as Enhancer of Liver Regeneration,inclusion,"Standard analytical parameters, defined by: Leukocytes ≥ 3000 Neutrophils ≥ 1500 Platelets ≥ 100,000 Aspartate aminotransferase (AST) / Alanine aminotransferase (ALT) ≤ 1.5 standard range institution creatinine ≤ 1.5 mg / dl"
CRIT_023,NCT01745731,Cell Infusion Intraportal Autologous Bone Marrow Mononuclear as Enhancer of Liver Regeneration,inclusion,Patients with liver space occupying lesion (LOE) that require extended hepatic resection.
CRIT_024,NCT01745731,Cell Infusion Intraportal Autologous Bone Marrow Mononuclear as Enhancer of Liver Regeneration,inclusion,"Patient selection should be cautious, covering basically 5 types of liver damage which must be submitted prior to liver volumetry: Metastatic Disease subsidiary right hepatectomy extended to segment IV Metastatic Disease subsidiary right hepatectomy with suspected diseased liver (neoadjuvant chemotherapy) (in cases of doubt may be used liver function test indocyanine green) Bilobar liver metastases with multiple nodules in the right lobe and more than 3 nodules greater than 30 mm in the left hepatic lobe (LHI) will perform lumpectomies the LHI + right portal branch ligation (or postoperative percutaneous embolization) in order to make right hepatectomy 4-6 weeks (two stage surgery) Subsidiary Hepatocarcinoma extended right hepatectomy Liver Injury benign / malignant (Hemangiomas, hydatid cysts or liver tumors / primary bile hepatoblastoma), which by extension threatens the viability of the remaining liver tissue."
CRIT_025,NCT01260883,Ketorolac in Postoperative Infants: Pharmacokinetics and Safety,exclusion,Bleeding history in infant or family
CRIT_026,NCT01260883,Ketorolac in Postoperative Infants: Pharmacokinetics and Safety,inclusion,"Non-prematurely-born infants admitted to hospital following surgery ages 2-18 months, studied by age group 12-18 months, 6-12 months, < 6 months"
CRIT_027,NCT01260883,Ketorolac in Postoperative Infants: Pharmacokinetics and Safety,exclusion,Renal or hepatic disease assessed by history and by pre-drug blood tests
CRIT_028,NCT01260883,Ketorolac in Postoperative Infants: Pharmacokinetics and Safety,exclusion,Coagulopathy
CRIT_029,NCT00256529,Prospective Analysis of Eosinophilic Esophagitis in Patients Presenting With Dysphagia,inclusion,Patients aged 18-90 presenting with dysphagia or food impaction
CRIT_030,NCT02509286,Perioperative Chemotherapy Compared To Neoadjuvant Chemoradiation in Patients With Adenocarcinoma of the Esophagus,inclusion,Histologically verified adenocarcinoma of the esophagus according to the UICC definition (TNM7)
CRIT_031,NCT02509286,Perioperative Chemotherapy Compared To Neoadjuvant Chemoradiation in Patients With Adenocarcinoma of the Esophagus,inclusion,"Pre-treatment stage cT1N+, M0 or cT2-4a, N0/+, M0"
CRIT_032,NCT02509286,Perioperative Chemotherapy Compared To Neoadjuvant Chemoradiation in Patients With Adenocarcinoma of the Esophagus,inclusion,No prior abdominal or thoracic radiotherapy
CRIT_033,NCT02618655,Clinical Research for the Diagnosis of Tick-borne Diseases in Patients With Unexplained Acute Fever,inclusion,temperature is higher than 38℃ Celsius degree
CRIT_034,NCT02618655,Clinical Research for the Diagnosis of Tick-borne Diseases in Patients With Unexplained Acute Fever,exclusion,we find that the patient selected does not meet the selection criteria within the observation period
CRIT_035,NCT02618655,Clinical Research for the Diagnosis of Tick-borne Diseases in Patients With Unexplained Acute Fever,inclusion,patients have fever more than one week
CRIT_036,NCT02618655,Clinical Research for the Diagnosis of Tick-borne Diseases in Patients With Unexplained Acute Fever,inclusion,full of physical examination and laboratory examination have been carried out after one week，but still cannot make a definite diagnosis
CRIT_037,NCT00997100,Exploratory Study of Changes in Disease Activity and Biomarkers With ABR-215757 in Patients With Mild Active Systemic Lupus Erythematosus (SLE),inclusion,Age > 18 years at the time of signing the informed consent form
CRIT_038,NCT00997100,Exploratory Study of Changes in Disease Activity and Biomarkers With ABR-215757 in Patients With Mild Active Systemic Lupus Erythematosus (SLE),inclusion,Laboratory values as follows Hemoglobin ≥ 100 g/L Absolute neutrophil count ≥ 1.0 x 109/L Total bilirubin ≤ 1.5 x upper limit of normal (ULN) AST (SGOT) / ALT (SGPT) ≤ 2.5 x ULN
CRIT_039,NCT00997100,Exploratory Study of Changes in Disease Activity and Biomarkers With ABR-215757 in Patients With Mild Active Systemic Lupus Erythematosus (SLE),exclusion,Severe renal impairment (estimated or measured GFR <50%)
